date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:06	22513/22513	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2014:45:39%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html	(from )
17:46:10	1002/1002	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2014:45:41%20GMT	https://p.w3layouts.com/robots.txt		(from )
17:46:13	141622/141622	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/bootstrap.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:13	89842/89842	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:14	84245/84245	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/jquery-2.1.1.min.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/jquery-2.1.1.min.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:15	33233/33233	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:16	1152/1152	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/examples.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/examples.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:19	61112/61112	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/gmaps.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/gmaps.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:20	62170/62170	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f6e8e31f2c6d5c51d33f86a6cdf4b3c%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/admin6/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:23	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/admin6/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Jan%202021%2014:45:52%20GMT	https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/admin6/codefund.io/properties/441/funder.9.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:27	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:28	3159/3159	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202019%2014:18:46%20GMT	https://p.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:29	35716/35716	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2014:46:01%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:31	8672/8672	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p4.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p4.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:32	8669/8669	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p2.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p2.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
17:46:34	7790/7790	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p3.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/p3.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/maps.html)
